,Feature,Beta,Node1,Node2
4949,RH_Cont_PFCl_3__RH_Cont_PFCl_1,0.4765049767765132,85.0,83.0
4948,LH_DorsAttn_Post_4__LH_Vis_9,0.23687325192220282,19.0,9.0
4947,RH_DorsAttn_Post_4__RH_DorsAttn_Post_1,0.10300434369480971,70.0,67.0
4946,LH_Default_pCunPCC_1__LH_SomMot_6,0.05553776296702298,49.0,15.0
4945,LH_Vis_9__LH_Vis_1,0.015829862970294373,9.0,1.0
4944,RH_SomMot_2__LH_Vis_2,0.014618478038094261,60.0,2.0
4943,RH_SomMot_8__LH_Default_PFC_7,0.014609891469731476,66.0,48.0
4942,LH_Vis_7__LH_Vis_2,0.012485610123610857,7.0,2.0
4941,RH_Default_Temp_3__LH_SalVentAttn_Med_3,0.009630593386563387,93.0,30.0
4940,LH_DorsAttn_Post_2__LH_Vis_9,0.008527923714030872,17.0,9.0
4939,RH_SomMot_8__LH_Default_pCunPCC_1,0.008278066687511675,66.0,49.0
4938,LH_DorsAttn_Post_2__LH_Vis_5,0.0064928418759143715,17.0,5.0
4937,LH_DorsAttn_Post_2__LH_Vis_3,0.0064928418759143715,17.0,3.0
4936,RH_Default_pCunPCC_1__LH_SomMot_3,0.004974103786728599,99.0,12.0
4935,LH_SomMot_3__LH_Vis_9,0.004827849792711662,12.0,9.0
4934,RH_SomMot_6__LH_Default_PFC_7,0.003054764008883274,64.0,48.0
4933,LH_Vis_6__LH_Vis_3,0.002952087783452236,6.0,3.0
4932,LH_Cont_Cing_1__LH_Cont_Par_1,0.002931455093802828,37.0,34.0
4931,LH_SomMot_2__LH_Vis_1,0.002459405272295981,11.0,1.0
4930,LH_Default_PFC_7__LH_SalVentAttn_PFCl_1,0.0024411917635888763,48.0,27.0
4929,LH_Vis_7__LH_Vis_3,0.0022163230248472905,7.0,3.0
4928,RH_Vis_5__LH_SomMot_5,0.0010770307571598978,55.0,14.0
4927,LH_SomMot_4__LH_Vis_6,0.0008793899394346006,13.0,6.0
4926,RH_Cont_Par_2__LH_Default_PFC_4,0.0008603391999548131,82.0,45.0
4925,LH_SomMot_1__LH_Vis_2,0.0007049063728614287,10.0,2.0
4924,LH_DorsAttn_Post_1__LH_SomMot_1,0.000489071575981198,16.0,10.0
4923,LH_SomMot_2__LH_SomMot_1,0.0003794367622696992,11.0,10.0
4922,RH_Vis_8__LH_DorsAttn_Post_5,0.00034463843048521966,58.0,20.0
4921,LH_Vis_5__LH_Vis_3,0.00017391084552262768,5.0,3.0
4920,LH_Vis_4__LH_Vis_3,0.00017391084552262768,4.0,3.0
4919,LH_Vis_2__LH_Vis_1,0.0001737313683737408,2.0,1.0
3296,LH_Vis_8__LH_Vis_3,0.0,8.0,3.0
3287,LH_Vis_5__LH_Vis_4,0.0,5.0,4.0
3294,LH_Vis_8__LH_Vis_1,0.0,8.0,1.0
3293,LH_Vis_3__LH_Vis_1,0.0,3.0,1.0
3292,LH_Vis_3__LH_Vis_2,0.0,3.0,2.0
3291,LH_Vis_4__LH_Vis_1,0.0,4.0,1.0
3290,LH_Vis_4__LH_Vis_2,0.0,4.0,2.0
3289,LH_Vis_5__LH_Vis_1,0.0,5.0,1.0
3288,LH_Vis_5__LH_Vis_2,0.0,5.0,2.0
3283,LH_Vis_6__LH_Vis_5,0.0,6.0,5.0
3286,LH_Vis_6__LH_Vis_1,0.0,6.0,1.0
3285,LH_Vis_6__LH_Vis_2,0.0,6.0,2.0
3284,LH_Vis_6__LH_Vis_4,0.0,6.0,4.0
3282,LH_Vis_7__LH_Vis_1,0.0,7.0,1.0
3281,LH_Vis_7__LH_Vis_4,0.0,7.0,4.0
3280,LH_Vis_7__LH_Vis_5,0.0,7.0,5.0
3279,LH_Vis_7__LH_Vis_6,0.0,7.0,6.0
3295,LH_Vis_8__LH_Vis_2,0.0,8.0,2.0
3311,LH_Vis_8__LH_Vis_7,0.0,8.0,7.0
3297,LH_Vis_8__LH_Vis_4,0.0,8.0,4.0
3298,LH_SomMot_1__LH_Vis_7,0.0,10.0,7.0
3313,LH_Vis_8__LH_Vis_5,0.0,8.0,5.0
3312,LH_Vis_8__LH_Vis_6,0.0,8.0,6.0
3277,LH_SomMot_1__LH_Vis_9,0.0,10.0,9.0
3310,LH_Vis_9__LH_Vis_2,0.0,9.0,2.0
3309,LH_Vis_9__LH_Vis_3,0.0,9.0,3.0
3308,LH_Vis_9__LH_Vis_4,0.0,9.0,4.0
3307,LH_Vis_9__LH_Vis_5,0.0,9.0,5.0
3306,LH_Vis_9__LH_Vis_7,0.0,9.0,7.0
3305,LH_SomMot_5__LH_Vis_8,0.0,14.0,8.0
3304,LH_Vis_9__LH_Vis_8,0.0,9.0,8.0
3303,LH_SomMot_1__LH_Vis_1,0.0,10.0,1.0
3302,LH_SomMot_1__LH_Vis_3,0.0,10.0,3.0
3301,LH_SomMot_1__LH_Vis_4,0.0,10.0,4.0
3300,LH_SomMot_1__LH_Vis_5,0.0,10.0,5.0
3299,LH_SomMot_1__LH_Vis_6,0.0,10.0,6.0
3278,LH_SomMot_1__LH_Vis_8,0.0,10.0,8.0
3262,LH_SomMot_5__LH_Vis_5,0.0,14.0,5.0
3276,LH_SomMot_2__LH_Vis_2,0.0,11.0,2.0
3257,LH_SomMot_2__LH_Vis_3,0.0,11.0,3.0
3255,LH_SomMot_2__LH_Vis_4,0.0,11.0,4.0
3254,LH_SomMot_2__LH_Vis_5,0.0,11.0,5.0
3253,LH_SomMot_2__LH_Vis_6,0.0,11.0,6.0
3252,LH_SomMot_2__LH_Vis_7,0.0,11.0,7.0
3251,LH_SomMot_2__LH_Vis_8,0.0,11.0,8.0
3250,LH_SomMot_2__LH_Vis_9,0.0,11.0,9.0
3249,LH_SomMot_3__LH_Vis_1,0.0,12.0,1.0
3248,LH_SomMot_3__LH_Vis_2,0.0,12.0,2.0
3247,LH_SomMot_3__LH_Vis_3,0.0,12.0,3.0
3246,LH_SomMot_3__LH_Vis_4,0.0,12.0,4.0
3245,LH_SomMot_3__LH_Vis_5,0.0,12.0,5.0
3244,LH_SomMot_3__LH_Vis_6,0.0,12.0,6.0
3243,LH_SomMot_3__LH_Vis_7,0.0,12.0,7.0
3242,LH_SomMot_3__LH_Vis_8,0.0,12.0,8.0
3241,LH_SomMot_3__LH_SomMot_1,0.0,12.0,10.0
3256,LH_SomMot_3__LH_SomMot_2,0.0,12.0,11.0
3258,LH_SomMot_4__LH_Vis_1,0.0,13.0,1.0
3275,LH_SomMot_4__LH_Vis_2,0.0,13.0,2.0
3259,LH_SomMot_4__LH_Vis_3,0.0,13.0,3.0
3274,LH_SomMot_4__LH_Vis_4,0.0,13.0,4.0
3273,LH_SomMot_4__LH_Vis_5,0.0,13.0,5.0
3272,LH_SomMot_4__LH_Vis_7,0.0,13.0,7.0
3271,LH_SomMot_4__LH_Vis_8,0.0,13.0,8.0
3270,LH_SomMot_4__LH_Vis_9,0.0,13.0,9.0
3269,LH_SomMot_4__LH_SomMot_1,0.0,13.0,10.0
3268,LH_SomMot_4__LH_SomMot_2,0.0,13.0,11.0
3267,LH_SomMot_4__LH_SomMot_3,0.0,13.0,12.0
3266,LH_SomMot_5__LH_Vis_1,0.0,14.0,1.0
3265,LH_SomMot_5__LH_Vis_2,0.0,14.0,2.0
3264,LH_SomMot_5__LH_Vis_3,0.0,14.0,3.0
3263,LH_SomMot_5__LH_Vis_4,0.0,14.0,4.0
3315,LH_SalVentAttn_FrOperIns_2__LH_DorsAttn_Post_6,0.0,26.0,21.0
3261,LH_SomMot_5__LH_Vis_6,0.0,14.0,6.0
3260,LH_SomMot_5__LH_Vis_7,0.0,14.0,7.0
3314,LH_Vis_9__LH_Vis_6,0.0,9.0,6.0
3330,LH_DorsAttn_Post_2__LH_SomMot_6,0.0,17.0,15.0
3316,LH_SomMot_5__LH_Vis_9,0.0,14.0,9.0
3372,LH_DorsAttn_Post_1__LH_Vis_1,0.0,16.0,1.0
3370,LH_SomMot_5__LH_SomMot_3,0.0,14.0,12.0
3369,LH_SomMot_5__LH_SomMot_4,0.0,14.0,13.0
3368,LH_SomMot_6__LH_Vis_1,0.0,15.0,1.0
3367,LH_SomMot_6__LH_Vis_2,0.0,15.0,2.0
3366,LH_SomMot_6__LH_Vis_3,0.0,15.0,3.0
3365,LH_SomMot_6__LH_Vis_4,0.0,15.0,4.0
3364,LH_SomMot_6__LH_Vis_5,0.0,15.0,5.0
3363,LH_SomMot_6__LH_Vis_6,0.0,15.0,6.0
3362,LH_SomMot_6__LH_Vis_7,0.0,15.0,7.0
3361,LH_SomMot_6__LH_Vis_8,0.0,15.0,8.0
3360,LH_SomMot_6__LH_Vis_9,0.0,15.0,9.0
3359,LH_SomMot_6__LH_SomMot_1,0.0,15.0,10.0
3358,LH_SomMot_6__LH_SomMot_2,0.0,15.0,11.0
3357,LH_SomMot_6__LH_SomMot_3,0.0,15.0,12.0
3356,LH_SomMot_6__LH_SomMot_4,0.0,15.0,13.0
3371,LH_SomMot_6__LH_SomMot_5,0.0,15.0,14.0
3373,LH_DorsAttn_Post_1__LH_Vis_2,0.0,16.0,2.0
3354,LH_DorsAttn_Post_2__LH_SomMot_1,0.0,17.0,10.0
3374,LH_DorsAttn_Post_1__LH_Vis_3,0.0,16.0,3.0
3389,LH_DorsAttn_Post_1__LH_Vis_5,0.0,16.0,5.0
3388,LH_DorsAttn_Post_1__LH_Vis_6,0.0,16.0,6.0
3387,LH_DorsAttn_Post_1__LH_Vis_7,0.0,16.0,7.0
3386,LH_DorsAttn_Post_1__LH_Vis_8,0.0,16.0,8.0
3385,LH_DorsAttn_Post_1__LH_Vis_9,0.0,16.0,9.0
3384,LH_DorsAttn_Post_1__LH_SomMot_2,0.0,16.0,11.0
3383,LH_DorsAttn_Post_1__LH_SomMot_4,0.0,16.0,13.0
3382,LH_SomMot_5__LH_SomMot_1,0.0,14.0,10.0
3381,LH_DorsAttn_Post_1__LH_SomMot_5,0.0,16.0,14.0
3380,LH_DorsAttn_Post_1__LH_SomMot_6,0.0,16.0,15.0
3379,LH_DorsAttn_Post_2__LH_Vis_1,0.0,17.0,1.0
3378,LH_DorsAttn_Post_2__LH_Vis_2,0.0,17.0,2.0
3377,LH_DorsAttn_Post_2__LH_Vis_4,0.0,17.0,4.0
3376,LH_DorsAttn_Post_2__LH_Vis_6,0.0,17.0,6.0
3375,LH_DorsAttn_Post_2__LH_Vis_7,0.0,17.0,7.0
3355,LH_DorsAttn_Post_2__LH_Vis_8,0.0,17.0,8.0
3353,LH_DorsAttn_Post_2__LH_SomMot_2,0.0,17.0,11.0
3317,LH_SomMot_5__LH_SomMot_2,0.0,14.0,11.0
