Subject,VMPFC__VSTR,M1_R__VSTR,M1_R__VMPFC,M1_L__VSTR,M1_L__VMPFC,M1_L__M1_R,SMA_R__VSTR,SMA_R__VMPFC,SMA_R__M1_R,SMA_R__M1_L,SMA_L__VSTR,SMA_L__VMPFC,SMA_L__M1_R,SMA_L__M1_L,SMA_L__SMA_R,preSMA_R__VSTR,preSMA_R__VMPFC,preSMA_R__M1_R,preSMA_R__M1_L,preSMA_R__SMA_R,preSMA_R__SMA_L,preSMA_L__VSTR,preSMA_L__VMPFC,preSMA_L__M1_R,preSMA_L__M1_L,preSMA_L__SMA_R,preSMA_L__SMA_L,preSMA_L__preSMA_R,dACC__VSTR,dACC__VMPFC,dACC__M1_R,dACC__M1_L,dACC__SMA_R,dACC__SMA_L,dACC__preSMA_R,dACC__preSMA_L,PCC__VSTR,PCC__VMPFC,PCC__M1_R,PCC__M1_L,PCC__SMA_R,PCC__SMA_L,PCC__preSMA_R,PCC__preSMA_L,PCC__dACC
102,0.1019215,0.1007215,0.06833624,0.09175085,0.0506014,0.9002599,0.03522961,0.00961409,0.5515915,0.5564993,0.01009553,-0.02208834,0.5434508,0.564434,0.4252118,0.04672771,0.09738173,0.2775095,0.353661,0.4526026,0.3208984,0.1571174,-0.008965186,0.1803168,0.2633067,0.16128,0.3216951,0.4781628,0.3101636,0.3466265,-0.1522707,-0.1373819,-0.1122611,-0.09452853,0.259078,0.2426791,0.2623654,0.2889335,-0.0879489,-0.047463,-0.04000518,-0.07507468,0.1856933,0.2706392,0.5229532
105,0.09012602,0.02789264,0.03041215,0.003502491,-0.00288558,0.6149805,-0.08714957,-0.1094537,0.3310731,0.1238495,-0.06661503,-0.1085572,0.3597936,0.3013383,0.6448925,-0.06612123,0.07580812,0.05618194,-0.1167393,0.4137168,0.2094586,-0.03369224,0.07563355,0.07606986,-0.1381375,0.1264839,0.1395715,0.3429238,0.02986936,0.3888846,-0.02252886,-0.1308732,0.09232087,0.08647807,0.3140671,0.4691804,0.1220155,0.4475769,0.0004984543,0.08457118,-0.1678394,-0.06567051,-0.137824,0.07710854,0.2896171
107,0.2393258,0.159558,0.2309835,0.2016217,0.2323356,0.5670308,0.1938628,0.1192331,0.5148097,0.4239056,0.2897947,0.2739976,0.5425431,0.4397464,0.5344141,0.2924861,-0.05109901,0.275703,0.111611,0.5057046,0.3614436,0.1840608,0.04194525,0.3105295,0.2363416,0.4095583,0.452054,0.5801319,0.3210322,0.1556594,0.1490846,0.09622825,0.2442337,0.2721007,0.4928579,0.4299159,0.1885882,0.6381769,0.1484269,0.1868115,0.2002681,0.2989261,-0.01362773,0.08240536,0.1462402
108,0.1647572,0.2396254,0.1193811,0.3136145,0.1932769,0.5410592,0.09335441,-0.04470539,0.3359258,0.3478024,0.2089574,-0.01844342,0.3453669,0.5342761,0.6301922,0.1476711,-0.2165982,0.1641531,0.2396825,0.6167457,0.5569994,0.181794,-0.04089447,0.3266531,0.401144,0.5592771,0.6020164,0.7253957,0.1308741,0.2447542,0.03980712,0.1958107,0.1187266,0.1078786,0.1622616,0.3153266,0.2002975,0.6281424,0.1953937,0.2325084,-0.07977264,-0.02875905,-0.2580962,-0.07021318,0.1009151
109,0.1718362,-0.08743568,0.2407977,0.0523904,0.2893945,0.6148182,-0.06114368,0.4295737,0.811478,0.5074776,-0.08405551,0.3554545,0.6140871,0.3924223,1.194392,0.004662316,0.4306759,0.4386679,0.1740864,0.7605379,0.7899607,0.1754795,0.1401334,0.3819776,0.2642074,0.3541798,0.2699926,0.4740902,0.2440066,0.5014975,0.2480553,0.2868853,0.2748641,0.1822613,0.4588201,0.6022323,-0.05030425,0.6340148,0.248385,0.1723173,0.3656585,0.2467372,0.4394637,0.1972113,0.4987897
110,0.1964687,-0.03155911,0.1679045,-0.009564863,-0.001752093,0.3028439,0.05685773,-0.04449499,0.1951634,0.2980033,0.0565938,-0.001224411,0.1644432,0.3252561,0.3557662,-0.08830348,-0.3363815,0.04922569,0.1750638,0.2477214,0.2025411,0.07645021,0.1238606,0.2226104,0.1835844,0.1125432,0.2003086,0.01266249,0.04516163,0.1210729,0.01902693,0.1101441,0.09110135,0.01816277,0.03802715,0.1143318,0.09638561,0.2215225,-0.07683137,-0.03063451,-0.04490921,-0.1163761,-0.2148015,-0.002225428,0.2964025
111,0.1099219,0.01122198,-0.4075432,-0.0491618,-0.005795102,0.3567074,0.07170566,-0.4145033,0.8068931,0.1966534,0.04443139,-0.2930324,0.520252,0.2487749,0.9930702,0.08447605,-0.2887349,0.621807,0.2472764,0.823887,0.6979438,0.02784803,0.05640348,0.209382,0.2064575,0.2004121,0.316246,0.5021265,0.138363,0.223268,0.1184001,0.2320107,0.01781604,0.0386887,0.1811938,0.3802694,0.0938067,0.2553238,-0.008274489,0.0156769,-0.01704194,0.02967969,0.1145818,0.2424498,0.2410658
112,0.2615225,0.1750017,-0.004637771,0.1169052,-0.06745161,1.034115,0.1407542,0.1766547,0.4164099,0.1872066,0.1516301,0.1118623,0.3967966,0.2020096,0.9603128,0.1800086,0.0565716,0.5313084,0.3654281,0.7787931,0.7570648,0.1061464,0.07696975,0.4138014,0.2654899,0.7237859,0.8083067,0.8333327,0.2508736,0.3128664,0.4822844,0.3238862,0.4313619,0.397862,0.6329905,0.4379162,0.2035813,0.597213,0.01096311,-0.1094712,0.2035547,0.2195644,0.06159072,0.1239287,0.2698761
113,0.253609,0.1569583,0.2468201,0.1348337,0.102088,0.9294649,0.1320444,0.07999926,0.7669918,0.7903259,0.1150019,0.07367888,0.7543679,0.7267185,0.7600014,0.2439357,-0.01092677,0.2935593,0.3550101,0.555714,0.2570601,0.2809965,0.2389697,0.4895938,0.3883885,0.3701271,0.3957905,0.4093926,0.3395016,0.3591527,0.1735653,0.1849334,0.2434167,0.1216352,0.3269838,0.2958796,0.3570218,0.4172619,0.1266105,-0.05195099,-0.001737289,-0.01274754,0.1480628,0.2626105,0.3797978
114,0.0897778,0.1162681,-0.05230217,0.06308671,-0.09252681,0.3624566,0.09540109,-0.04207562,0.01947078,0.06819175,0.05498273,-0.1254005,0.1177774,0.3563941,0.5183851,0.1214473,-0.2740305,0.07426564,0.1405221,0.2068709,0.2814189,0.09525969,-0.1155017,0.04436851,0.1302626,0.01906154,0.2560432,0.6964395,0.07675058,0.4296113,-0.06515828,-0.0561016,-0.1372336,-0.05746195,0.2925235,0.4329866,-0.01441442,0.32585,0.009259347,0.04717273,0.08029865,-0.05659277,-0.1309831,-0.103557,0.1739142
