,Feature,Beta,Count
0,dACC__SMA_L,0.006908129327885733,29.0
1,SMA_L__VSTR,0.007039049204193164,31.0
2,preSMA_L__SMA_L,0.008890977930651333,32.0
3,dACC__VMPFC,0.00833159458442159,32.0
4,preSMA_L__VSTR,0.011923546181776936,32.0
5,preSMA_R__SMA_R,0.012665381813322746,32.0
6,preSMA_L__SMA_R,0.009265499339286562,33.0
7,M1_L__VMPFC,0.009897920751252978,33.0
8,SMA_R__M1_L,0.009866165536427397,33.0
9,M1_R__VSTR,0.013369910579030073,33.0
10,preSMA_R__VMPFC,0.008272328061407689,33.0
11,preSMA_R__VSTR,0.016946900275301154,33.0
12,preSMA_L__preSMA_R,0.012351638153611861,33.0
13,PCC__M1_L,0.01743626670497614,33.0
14,preSMA_R__M1_L,0.0077707423719924245,33.0
15,dACC__M1_R,0.01767646626237578,33.0
16,dACC__M1_L,0.02404832212395198,34.0
17,VMPFC__VSTR,0.015382971811674214,34.0
18,preSMA_L__M1_L,0.02227182773402552,34.0
19,dACC__preSMA_L,0.02669435400710223,34.0
20,PCC__VSTR,0.02175538445226295,34.0
21,PCC__SMA_L,0.024152698587116203,34.0
22,PCC__M1_R,0.02505528320570474,34.0
23,PCC__VMPFC,0.013927442361173756,34.0
24,PCC__preSMA_L,0.09800920133224107,34.0
25,M1_R__VMPFC,0.029876136662313826,34.0
26,SMA_L__VMPFC,0.02663193640589401,34.0
27,PCC__SMA_R,0.11607561460607509,34.0
28,preSMA_R__M1_R,0.027237381292975073,34.0
29,preSMA_R__SMA_L,0.021142887002813606,34.0
30,M1_L__VSTR,0.014952708456473993,34.0
31,SMA_R__VSTR,0.019051801831405812,34.0
32,preSMA_L__M1_R,0.021400734497902706,34.0
33,PCC__dACC,0.011179049037856352,34.0
34,preSMA_L__VMPFC,0.047128331682171065,34.0
35,SMA_R__VMPFC,0.05313360717215342,34.0
36,dACC__preSMA_R,0.0156684035421697,34.0
37,SMA_L__M1_L,0.021185625827885194,34.0
38,dACC__SMA_R,0.010222345098927828,34.0
39,SMA_L__SMA_R,0.024163144499214733,34.0
40,dACC__VSTR,0.01937206250996546,34.0
41,M1_L__M1_R,0.009888266188451237,34.0
42,SMA_L__M1_R,0.021232375851463172,34.0
43,SMA_R__M1_R,0.01258699568874766,34.0
44,PCC__preSMA_R,0.02796058945197389,34.0
