,Feature,Beta,Count
0,LH_Default_PFC_7__LH_Default_PFC_5,-0.0010234436298485765,1.0
1,RH_Vis_1__LH_Limbic_OFC_1,-0.0026845286210756443,1.0
2,LH_Default_PFC_6__LH_Default_PFC_4,-5.95473135636839e-05,1.0
3,RH_SomMot_2__LH_Default_PFC_3,0.003185376858067763,1.0
4,RH_Cont_Par_2__LH_Cont_Par_1,0.0015173444178520107,1.0
5,RH_Cont_Par_2__LH_Limbic_TempPole_2,-0.0012944853393081091,1.0
6,RH_Default_pCunPCC_1__RH_SomMot_8,0.006040197221707845,1.0
7,RH_Cont_pCun_1__LH_Default_PFC_6,-0.0010160923017527876,1.0
8,RH_Default_PFCdPFCm_2__RH_Cont_Par_1,-0.0014100729832644673,1.0
9,LH_Default_pCunPCC_1__LH_Vis_7,0.0007155803567679358,1.0
10,RH_Default_Temp_1__RH_Cont_Par_1,-0.0014271238324729998,1.0
11,RH_DorsAttn_Post_1__LH_DorsAttn_Post_6,0.0053746399878935,1.0
12,RH_Cont_Par_1__RH_Vis_8,-0.0029529732250200974,1.0
13,LH_Default_PFC_6__LH_Default_PFC_1,-0.0005456355032393423,1.0
14,RH_Cont_Cing_1__RH_Vis_1,-0.0033121488132369335,1.0
15,LH_DorsAttn_Post_2__LH_Vis_9,-0.0022122775857250075,1.0
16,RH_DorsAttn_FEF_1__RH_DorsAttn_Post_1,0.004855858583219788,1.0
17,RH_DorsAttn_Post_1__LH_SalVentAttn_Med_2,0.004011306325296178,1.0
18,RH_DorsAttn_FEF_1__LH_SalVentAttn_ParOper_1,-0.004597073578363863,1.0
19,RH_Default_Par_1__LH_DorsAttn_Post_1,-0.001832458176183343,1.0
20,RH_SalVentAttn_TempOccPar_2__LH_DorsAttn_Post_2,0.00034376006803990013,1.0
21,RH_Cont_Par_1__RH_DorsAttn_Post_4,-0.0008274310864200611,1.0
22,LH_Default_pCunPCC_1__LH_SomMot_5,0.00013721326473631183,1.0
23,RH_SomMot_6__LH_Default_PFC_3,0.01662372959540128,1.0
24,RH_SalVentAttn_Med_1__RH_DorsAttn_Post_1,0.00021398435198604,1.0
25,RH_Default_Temp_3__LH_SalVentAttn_Med_1,-0.0076445643847468285,1.0
26,RH_Default_PFCdPFCm_3__LH_DorsAttn_Post_1,-0.003149081269523216,1.0
27,RH_DorsAttn_Post_5__LH_Vis_1,0.012565177084183182,1.0
28,RH_DorsAttn_Post_5__LH_DorsAttn_Post_2,0.0004261059474819876,1.0
29,LH_Default_pCunPCC_1__LH_DorsAttn_Post_6,0.008426190791735252,1.0
30,RH_DorsAttn_PrCv_1__LH_Limbic_TempPole_2,0.0012200160841004525,1.0
31,LH_SomMot_6__LH_Vis_1,0.026072929177046518,2.0
32,RH_DorsAttn_Post_5__RH_DorsAttn_Post_1,0.012253505479963648,2.0
33,RH_Cont_Cing_1__LH_Default_PFC_7,-0.0068130319562045676,2.0
34,RH_Default_PFCdPFCm_3__LH_Default_Par_2,-0.0065386656337119405,2.0
35,LH_Default_PFC_6__LH_Limbic_TempPole_2,-0.0045720207747251855,2.0
36,RH_Cont_Par_1__LH_DorsAttn_Post_3,-0.002378602913302133,3.0
37,RH_SalVentAttn_FrOperIns_1__RH_DorsAttn_Post_1,0.006664522768083725,3.0
38,LH_Default_PFC_6__LH_Limbic_TempPole_1,-0.007096106840850049,3.0
39,RH_DorsAttn_FEF_1__LH_DorsAttn_Post_2,0.0059940684388966655,3.0
40,RH_Default_Par_1__LH_Default_PFC_6,0.0034988907081503237,3.0
41,RH_Default_PFCv_2__RH_Vis_1,-0.0191189836559722,3.0
42,RH_Default_PFCdPFCm_3__LH_Cont_Par_1,-0.010465640038912665,3.0
43,RH_Cont_pCun_1__LH_Cont_Par_1,-0.004861581811074299,4.0
44,LH_Default_PFC_5__LH_Limbic_TempPole_2,-0.004767782348618773,4.0
45,RH_Default_Par_1__LH_Cont_Par_1,-0.016263058929122602,5.0
46,RH_Default_Par_1__LH_Default_PFC_7,-0.013571325621256068,6.0
47,LH_Default_PFC_3__LH_SomMot_6,0.04778824059867434,7.0
48,RH_SomMot_8__LH_Default_pCunPCC_1,0.02226989887310386,8.0
49,LH_Default_PFC_6__LH_Default_Par_2,0.028161874817377048,9.0
50,RH_Cont_Par_1__LH_DorsAttn_Post_1,-0.06952335314585827,9.0
51,RH_Default_pCunPCC_1__LH_SomMot_6,0.020149846156742226,9.0
52,RH_Cont_Par_1__LH_Limbic_OFC_1,0.020855584820948493,10.0
53,RH_SomMot_7__LH_Limbic_TempPole_2,0.09874564009424658,11.0
54,RH_SomMot_8__LH_Default_PFC_3,0.04391367829875972,11.0
55,LH_Default_PFC_7__LH_SalVentAttn_PFCl_1,-0.07010219927801697,13.0
56,RH_Default_Temp_3__LH_SalVentAttn_Med_3,-0.07872805223022893,16.0
57,RH_DorsAttn_Post_5__LH_Limbic_TempPole_1,0.0747952091462441,20.0
58,RH_Default_PFCv_1__RH_Cont_Par_1,0.15563355793042938,25.0
59,LH_Default_pCunPCC_1__LH_SomMot_6,0.2934781477328241,27.0
60,RH_DorsAttn_Post_1__LH_SomMot_6,0.25643243948960415,32.0
