,Feature,Beta,Count
0,PALLIDUM_LEFT__LH_SomMot_8,0.0001018766041555355,1.0
1,CAUDATE_LEFT__LH_Default_PFC_3,0.00041110914035410084,1.0
2,RH_Limbic_OFC_2__LH_Default_PFC_5,4.509404711742984e-05,1.0
3,LH_Default_Par_3__LH_Limbic_OFC_4,8.8233571072003e-05,1.0
4,RH_Default_Temp_2__LH_Limbic_OFC_4,8.73369977525852e-06,1.0
5,RH_Cont_Cing_2__LH_Default_PFC_16,5.562701971081446e-05,1.0
6,PALLIDUM_LEFT__LH_SomMot_12,8.602274836602658e-05,1.0
7,LH_Default_PFC_14__LH_Cont_PFCl_4,7.168449606012776e-05,1.0
8,RH_Cont_PFCv_1__LH_SomMot_35,0.0005317826317561036,1.0
9,RH_DorsAttn_Post_2__LH_Default_PFC_18,0.00037769819067649764,1.0
10,LH_Limbic_OFC_4__LH_DorsAttn_Post_11,0.0024075739069906285,1.0
11,RH_DorsAttn_FEF_1__RH_Vis_2,0.0001633040453689807,1.0
12,RH_DorsAttn_Post_2__LH_Limbic_OFC_2,0.0013613331737974384,1.0
13,RH_Default_PFCdPFCm_7__LH_SomMot_7,0.002914896518774148,1.0
14,RH_Cont_PFCl_14__RH_Limbic_OFC_6,9.441360862198996e-05,1.0
15,RH_SalVentAttn_TempOccPar_2__LH_Default_PFC_10,0.0004497050918316838,1.0
16,RH_Cont_Cing_2__LH_Default_PFC_20,0.0001697933742027806,1.0
17,RH_Default_Par_1__RH_Cont_Par_4,0.00018944922486721904,1.0
18,HIPPOCAMPUS_RIGHT__RH_Vis_30,0.0038151360473414157,1.0
19,LH_DorsAttn_PrCv_2__LH_DorsAttn_Post_8,5.9514998187396014e-05,1.0
20,PALLIDUM_LEFT__LH_Default_PFC_11,0.00010704419886605383,1.0
21,PALLIDUM_LEFT__LH_Default_PFC_10,0.0009082647157986043,1.0
22,LH_Default_PFC_3__LH_SalVentAttn_Med_4,0.00011192796398291561,1.0
23,PALLIDUM_LEFT__LH_Default_PFC_16,0.00031690698236690054,1.0
24,RH_Cont_PFCv_1__LH_Limbic_TempPole_7,0.00010489060387379357,1.0
25,RH_Default_Temp_3__RH_Limbic_OFC_2,3.0826507903923576e-05,1.0
26,RH_SomMot_5__LH_DorsAttn_FEF_4,7.938591687449557e-05,1.0
27,LH_Default_PFC_3__LH_Cont_PFCl_4,0.0004157444210954807,1.0
28,RH_Limbic_OFC_2__LH_Default_Par_7,0.0011755072544077487,1.0
29,RH_Cont_Par_2__RH_DorsAttn_Post_2,4.39066841183073e-06,1.0
30,RH_Cont_PFCl_13__LH_Cont_PFCl_4,0.00015641866505853563,1.0
31,LH_Default_Temp_2__LH_Cont_PFCl_5,0.0010070614942584242,1.0
32,RH_DorsAttn_FEF_1__LH_SalVentAttn_ParOper_1,0.00010953356397678266,1.0
33,RH_DorsAttn_Post_4__RH_SomMot_34,0.00022474873458254321,1.0
34,CAUDATE_LEFT__BRAIN_STEM,9.31577134189069e-05,1.0
35,RH_Vis_2__LH_Default_pCunPCC_5,0.0003366424255771204,1.0
36,RH_Cont_PFCv_1__LH_SalVentAttn_FrOperIns_9,0.00020369687362167813,1.0
37,LH_Default_pCunPCC_2__LH_SomMot_22,0.00224075451443258,1.0
38,LH_Limbic_OFC_4__LH_SomMot_36,0.0022150090748430905,1.0
39,LH_Default_Temp_6__LH_Limbic_OFC_4,8.017817638691492e-05,1.0
40,LH_Cont_PFCl_8__LH_Limbic_OFC_4,1.7012142364771948e-05,1.0
41,LH_Default_Par_6__LH_Limbic_OFC_4,4.0638908572836446e-05,1.0
42,LH_DorsAttn_Post_10__LH_DorsAttn_Post_5,1.8089543019554577e-05,1.0
43,RH_Cont_PFCl_13__LH_Limbic_TempPole_4,5.4731838280055805e-05,1.0
44,RH_Cont_Par_2__RH_Limbic_OFC_6,0.00016717292591545522,1.0
45,RH_Default_Temp_8__LH_Default_PFC_15,4.285533265714581e-05,1.0
46,RH_Limbic_TempPole_1__LH_SomMot_22,0.004148496295046835,1.0
47,RH_SalVentAttn_FrOperIns_3__LH_DorsAttn_Post_8,6.537238638132869e-05,1.0
48,LH_Cont_PFCl_5__LH_Cont_OFC_1,1.9586481260284037e-05,1.0
