,Feature,Beta,Node1,Node2
4949,LH_Default_pCunPCC_1__LH_SomMot_6,0.0995076394825832,49.0,15.0
4948,LH_Cont_Cing_1__LH_Cont_Par_1,0.01452734579694967,37.0,34.0
4947,RH_SomMot_8__LH_Limbic_TempPole_2,0.013971529432082115,66.0,33.0
4946,RH_SomMot_8__LH_Default_pCunPCC_1,0.0126787048758476,66.0,49.0
4945,RH_DorsAttn_PrCv_1__RH_Vis_3,0.011744325223039519,72.0,53.0
4944,RH_Default_Temp_3__LH_SalVentAttn_Med_1,0.011243199813619681,93.0,28.0
4943,RH_DorsAttn_Post_1__LH_SomMot_6,0.009690224685489046,67.0,15.0
4942,RH_DorsAttn_FEF_1__LH_Limbic_TempPole_1,0.009461967613251666,73.0,32.0
4941,RH_Cont_Par_1__RH_DorsAttn_FEF_1,0.007319724389222863,81.0,73.0
4940,RH_SalVentAttn_TempOccPar_1__LH_SalVentAttn_ParOper_1,0.0072642490110776245,74.0,24.0
4939,RH_SomMot_7__LH_Limbic_TempPole_2,0.006681067502860951,65.0,33.0
4938,LH_Limbic_TempPole_1__LH_DorsAttn_Post_6,0.006483599122332109,32.0,21.0
4937,LH_Default_pCunPCC_1__LH_SomMot_1,0.006187836312023615,49.0,10.0
4936,RH_Default_Temp_3__LH_SalVentAttn_Med_3,0.00576713403880121,93.0,30.0
4935,RH_Cont_Par_2__RH_SomMot_8,0.005706024222948456,82.0,66.0
4934,LH_SalVentAttn_Med_2__LH_Vis_1,0.004927383613468656,29.0,1.0
4933,LH_Default_PFC_3__LH_DorsAttn_Post_5,0.004764031534879601,44.0,20.0
4932,RH_Default_PFCdPFCm_3__LH_DorsAttn_Post_3,0.004612231281927954,98.0,18.0
4931,RH_DorsAttn_Post_5__LH_Limbic_TempPole_2,0.004577227135387729,71.0,33.0
4930,RH_Default_PFCdPFCm_3__LH_Cont_PFCl_1,0.004468008209856748,98.0,35.0
4929,RH_SomMot_7__LH_Default_pCunPCC_1,0.004463003592542154,65.0,49.0
4928,LH_Limbic_TempPole_2__LH_SalVentAttn_FrOperIns_1,0.004457786310575461,33.0,25.0
4927,RH_Default_Par_1__LH_DorsAttn_FEF_1,0.004291569465013502,90.0,23.0
4926,LH_Limbic_TempPole_2__LH_DorsAttn_Post_2,0.004263435184632911,33.0,17.0
4925,RH_SalVentAttn_TempOccPar_1__RH_DorsAttn_Post_1,0.004150801189406253,74.0,67.0
4924,RH_SalVentAttn_FrOperIns_1__LH_Default_pCunPCC_1,0.003920162844439989,76.0,49.0
4923,RH_Default_PFCv_2__RH_Vis_4,0.003781247350840208,95.0,54.0
4922,RH_Cont_PFCl_3__RH_Cont_PFCl_1,0.003777596210982228,85.0,83.0
4921,RH_SalVentAttn_FrOperIns_1__RH_DorsAttn_FEF_1,0.0037381921006696506,76.0,73.0
4920,RH_DorsAttn_Post_5__LH_Limbic_TempPole_1,0.003723562761238156,71.0,32.0
4919,RH_DorsAttn_Post_1__LH_SomMot_3,0.003674699540516817,67.0,12.0
4918,RH_DorsAttn_Post_4__LH_Limbic_TempPole_2,0.0036538246109730985,70.0,33.0
4917,RH_SomMot_8__LH_Default_PFC_7,0.0036440156282587493,66.0,48.0
4916,LH_SalVentAttn_PFCl_1__LH_SomMot_2,0.0036088148182075656,27.0,11.0
4915,RH_Default_pCunPCC_1__LH_SomMot_3,0.0035551442385407944,99.0,12.0
4914,RH_Default_Temp_2__LH_Vis_5,0.0035110983456587844,92.0,5.0
4913,RH_Default_PFCdPFCm_3__LH_Cont_Par_1,0.0033924437185027753,98.0,34.0
4912,LH_Default_pCunPCC_1__LH_SomMot_5,0.0033696107550967845,49.0,14.0
4911,RH_SomMot_6__LH_Default_PFC_7,0.0032584718912937404,64.0,48.0
4910,LH_Default_pCunPCC_1__LH_SomMot_3,0.00323440795335793,49.0,12.0
4909,LH_Default_PFC_7__LH_SalVentAttn_PFCl_1,0.0032156347475460396,48.0,27.0
4908,LH_Limbic_TempPole_2__LH_Vis_8,0.0032009208517717303,33.0,8.0
4907,LH_Cont_Par_1__LH_SomMot_6,0.003181004155972312,34.0,15.0
4906,RH_Cont_Par_2__LH_SomMot_6,0.003165591615247116,82.0,15.0
4905,RH_DorsAttn_PrCv_1__LH_Default_pCunPCC_1,0.0030454867026878476,72.0,49.0
4904,LH_Default_PFC_7__LH_Default_PFC_4,0.0030361062011386537,48.0,45.0
4903,RH_Vis_5__LH_Vis_3,0.002909900199893841,55.0,3.0
4902,LH_Default_pCunPCC_2__LH_SalVentAttn_FrOperIns_1,0.002880486228843903,50.0,25.0
4901,RH_Vis_3__LH_Limbic_TempPole_2,0.002789520298813768,53.0,33.0
4900,RH_Cont_Par_1__LH_DorsAttn_Post_3,0.002755968764415239,81.0,18.0
4899,RH_SomMot_2__LH_Default_pCunPCC_1,0.002673353054650682,60.0,49.0
4898,LH_DorsAttn_Post_4__LH_SomMot_3,0.002643238693854186,19.0,12.0
4897,RH_Limbic_TempPole_1__LH_SalVentAttn_ParOper_1,0.0025958237611986928,80.0,24.0
4896,RH_Default_pCunPCC_1__LH_Limbic_OFC_1,0.002588353344495274,99.0,31.0
4895,RH_DorsAttn_Post_4__LH_Vis_4,0.0025838600508625575,70.0,4.0
4894,RH_Cont_pCun_1__RH_SomMot_2,0.002537814167347536,89.0,60.0
4893,RH_Default_pCunPCC_2__LH_Limbic_TempPole_2,0.002518940505974383,100.0,33.0
4892,RH_Default_Par_1__LH_Default_PFC_7,0.002495228605918907,90.0,48.0
4891,RH_DorsAttn_Post_1__LH_SalVentAttn_Med_2,0.0024770517489906426,67.0,29.0
4890,LH_Default_Par_2__LH_Limbic_TempPole_2,0.0024548103053335627,41.0,33.0
4889,RH_SomMot_8__LH_Cont_Cing_1,0.0024521513547156163,66.0,37.0
4888,RH_DorsAttn_Post_1__LH_SalVentAttn_FrOperIns_2,0.0024221058568927698,67.0,26.0
4887,LH_Limbic_OFC_1__LH_SalVentAttn_FrOperIns_2,0.0024116635551392103,31.0,26.0
4886,RH_Limbic_TempPole_1__RH_DorsAttn_FEF_1,0.0023996541537509063,80.0,73.0
4885,RH_SomMot_8__LH_Limbic_TempPole_1,0.002389095791896774,66.0,32.0
4884,LH_Default_PFC_7__LH_Cont_Cing_1,0.002366993899604476,48.0,37.0
4883,RH_Default_PFCdPFCm_1__RH_Default_PFCv_2,0.0023330830315711816,96.0,95.0
4882,RH_Cont_PFCl_3__LH_DorsAttn_Post_1,0.002304610286801156,85.0,16.0
4881,RH_Vis_3__LH_SomMot_6,0.0022622451568192086,53.0,15.0
4880,RH_DorsAttn_Post_2__LH_Limbic_TempPole_2,0.0022541383890823607,68.0,33.0
4879,RH_SomMot_2__LH_SomMot_3,0.002233568899865325,60.0,12.0
4878,RH_Cont_Par_1__LH_Limbic_TempPole_2,0.002231962336289469,81.0,33.0
4877,LH_Default_PFC_6__LH_Limbic_TempPole_2,0.0022302412504779045,47.0,33.0
4876,RH_Cont_Par_1__LH_DorsAttn_Post_4,0.0021866464613075954,81.0,19.0
4875,LH_SalVentAttn_Med_2__LH_DorsAttn_PrCv_1,0.002173428839359595,29.0,22.0
4874,LH_Default_Temp_2__LH_SalVentAttn_Med_2,0.002166297831776041,39.0,29.0
4873,RH_SomMot_6__LH_Limbic_TempPole_1,0.002122420355953141,64.0,32.0
4872,LH_Default_PFC_3__LH_SomMot_6,0.0021018368982754086,44.0,15.0
4871,LH_Cont_PFCl_1__LH_SalVentAttn_Med_1,0.002101442663672657,35.0,28.0
4870,RH_Default_pCunPCC_1__RH_SomMot_8,0.0020993547501525073,99.0,66.0
4869,RH_DorsAttn_FEF_1__RH_DorsAttn_PrCv_1,0.0020878410571368907,73.0,72.0
4868,RH_Default_PFCdPFCm_1__LH_Cont_pCun_1,0.0020666981215881008,96.0,36.0
4867,RH_SomMot_2__LH_Default_PFC_3,0.0020597289087251965,60.0,44.0
4866,RH_SalVentAttn_TempOccPar_1__LH_Default_pCunPCC_1,0.002009774518831522,74.0,49.0
4865,RH_Default_PFCdPFCm_2__RH_SalVentAttn_TempOccPar_1,0.0019922459236497553,97.0,74.0
4864,RH_Limbic_TempPole_1__RH_SalVentAttn_FrOperIns_1,0.0019761438508275114,80.0,76.0
4863,LH_Default_PFC_7__LH_Default_PFC_2,0.0019488106014952378,48.0,43.0
4862,RH_Default_PFCv_1__RH_DorsAttn_PrCv_1,0.0019439504338076353,94.0,72.0
4861,RH_Default_Temp_3__LH_Vis_5,0.001937826059861027,93.0,5.0
4860,RH_Cont_Cing_1__LH_DorsAttn_Post_3,0.0019300448000597985,87.0,18.0
4859,RH_Default_Par_1__LH_DorsAttn_Post_5,0.0019100892750756944,90.0,20.0
4858,RH_Default_Temp_2__LH_SalVentAttn_Med_3,0.0018732700224189053,92.0,30.0
4857,RH_Default_PFCv_2__LH_Vis_8,0.0018718233674234353,95.0,8.0
4856,RH_Cont_PFCl_2__LH_Default_Par_2,0.0018693718221732194,84.0,41.0
4855,RH_SomMot_2__RH_Vis_2,0.001862253384302268,60.0,52.0
4854,RH_Default_PFCdPFCm_3__LH_Vis_1,0.0018511774870281544,98.0,1.0
4853,RH_Default_Par_1__LH_SomMot_4,0.0018458842106384551,90.0,13.0
4852,RH_DorsAttn_Post_5__LH_Vis_1,0.0018385548108028995,71.0,1.0
4851,RH_Cont_Par_1__LH_Vis_9,0.0018301910004318175,81.0,9.0
4850,LH_Limbic_OFC_1__LH_Vis_1,0.0018210245521975306,31.0,1.0
4849,RH_Cont_Par_1__RH_DorsAttn_Post_4,0.0018068312420263543,81.0,70.0
4848,LH_SomMot_6__LH_SomMot_1,0.0017783606234451801,15.0,10.0
4847,RH_SomMot_2__LH_Vis_2,0.0017515927628383963,60.0,2.0
4846,RH_DorsAttn_Post_4__RH_DorsAttn_Post_1,0.0017471745528592007,70.0,67.0
4845,RH_DorsAttn_Post_4__LH_Limbic_TempPole_1,0.0017048409097661166,70.0,32.0
4844,LH_Default_Temp_2__LH_SalVentAttn_Med_3,0.0017006499936491355,39.0,30.0
4843,LH_SomMot_6__LH_Vis_1,0.0016993428986112188,15.0,1.0
4842,RH_Cont_Cing_1__LH_Default_PFC_7,0.0016944484472576611,87.0,48.0
4841,RH_Default_PFCv_2__RH_Vis_3,0.0016850994436130712,95.0,53.0
4840,RH_Default_pCunPCC_1__LH_SalVentAttn_FrOperIns_1,0.0016835609748245383,99.0,25.0
4839,RH_DorsAttn_PrCv_1__LH_DorsAttn_Post_4,0.001679469475140128,72.0,19.0
4838,RH_DorsAttn_PrCv_1__RH_Vis_7,0.001674038601689205,72.0,57.0
4837,RH_DorsAttn_Post_1__RH_SomMot_3,0.0016498936070463485,67.0,61.0
4836,RH_Cont_Par_1__LH_Default_PFC_3,0.001641686336423665,81.0,44.0
4835,RH_Cont_pCun_1__LH_Cont_Par_1,0.0016318464939558373,89.0,34.0
4834,LH_Limbic_TempPole_1__LH_SalVentAttn_Med_2,0.0016191124192907387,32.0,29.0
4833,RH_SomMot_6__LH_Vis_1,0.001592313877281446,64.0,1.0
4832,RH_Default_Par_1__LH_DorsAttn_PrCv_1,0.0015652948026469524,90.0,22.0
4831,RH_SomMot_7__LH_DorsAttn_Post_2,0.0015330816249079383,65.0,17.0
4830,RH_Default_PFCdPFCm_3__LH_SalVentAttn_PFCl_1,0.0015175188244297003,98.0,27.0
4829,RH_Cont_Par_2__RH_SomMot_7,0.0015025891688546342,82.0,65.0
4828,RH_SomMot_4__LH_Vis_7,0.0014937783584308604,62.0,7.0
4827,RH_Default_Temp_3__LH_Vis_2,0.001477971316873478,93.0,2.0
4826,LH_Default_Temp_2__LH_Vis_5,0.0014531467282744217,39.0,5.0
4825,LH_DorsAttn_Post_5__LH_Vis_3,0.0014336545262866559,20.0,3.0
4824,RH_Default_PFCv_2__LH_Vis_4,0.0014310076337663404,95.0,4.0
4823,RH_Cont_Cing_1__RH_DorsAttn_PrCv_1,0.0014094419834269883,87.0,72.0
4822,RH_SomMot_4__RH_Vis_5,0.0014037194364812594,62.0,55.0
4821,LH_Default_pCunPCC_1__LH_DorsAttn_Post_6,0.0013885867412121906,49.0,21.0
4820,LH_Default_PFC_2__LH_DorsAttn_Post_2,0.0013696472198878,43.0,17.0
4819,RH_Default_pCunPCC_1__LH_SomMot_6,0.0013498901337052815,99.0,15.0
4818,RH_SalVentAttn_Med_1__LH_DorsAttn_PrCv_1,0.0013394027548937083,77.0,22.0
4817,RH_DorsAttn_Post_2__LH_DorsAttn_Post_6,0.0013388812583032185,68.0,21.0
4816,RH_Cont_PFCl_3__RH_SomMot_8,0.001312872197719863,85.0,66.0
4815,LH_Default_pCunPCC_1__LH_SalVentAttn_FrOperIns_1,0.0013082495079638678,49.0,25.0
4814,RH_Vis_5__LH_SomMot_5,0.001303425014370759,55.0,14.0
4813,RH_Cont_Par_2__RH_SomMot_5,0.0012984343076637948,82.0,63.0
4812,LH_Cont_Par_1__LH_DorsAttn_Post_2,0.001297555682856192,34.0,17.0
4811,RH_Cont_PFCl_1__RH_DorsAttn_Post_2,0.0012736735226888329,83.0,68.0
4810,RH_SalVentAttn_FrOperIns_1__RH_DorsAttn_Post_4,0.0012545551334041997,76.0,70.0
4809,RH_SomMot_7__LH_Default_PFC_7,0.0012536993339451888,65.0,48.0
4808,LH_Limbic_TempPole_2__LH_DorsAttn_Post_6,0.0012453686555365965,33.0,21.0
4807,LH_SomMot_5__LH_Vis_5,0.001241933080455498,14.0,5.0
4806,LH_DorsAttn_Post_2__LH_Vis_9,0.0012406553543241959,17.0,9.0
4805,RH_Default_Temp_1__RH_Cont_PFCl_2,0.001219705759558732,91.0,84.0
4804,RH_Cont_Par_2__LH_DorsAttn_FEF_1,0.0011794773968569398,82.0,23.0
4803,RH_Cont_Par_2__RH_SomMot_6,0.001162556733113735,82.0,64.0
4802,RH_SomMot_2__LH_SalVentAttn_Med_3,0.0011607443743105426,60.0,30.0
4801,RH_DorsAttn_Post_1__RH_SomMot_8,0.00113364624097565,67.0,66.0
4800,RH_DorsAttn_Post_1__LH_DorsAttn_Post_5,0.0011317419425178213,67.0,20.0
4799,RH_Default_pCunPCC_1__LH_DorsAttn_FEF_1,0.001111118772429792,99.0,23.0
4798,RH_DorsAttn_FEF_1__LH_Default_PFC_3,0.0010989974993303555,73.0,44.0
4797,RH_Cont_PFCmp_1__LH_Vis_7,0.0010982732719014097,88.0,7.0
4796,RH_SalVentAttn_TempOccPar_1__LH_Vis_9,0.001097076689560331,74.0,9.0
4795,RH_Cont_Par_1__LH_Default_PFC_2,0.0010826402199448253,81.0,43.0
4794,RH_DorsAttn_PrCv_1__LH_SalVentAttn_PFCl_1,0.0010816985821616623,72.0,27.0
4793,RH_Vis_5__LH_SomMot_4,0.001071985013882378,55.0,13.0
4792,RH_Default_Temp_1__LH_SalVentAttn_FrOperIns_2,0.001062762735316575,91.0,26.0
4791,RH_Cont_Par_2__LH_DorsAttn_Post_2,0.0010590808047891288,82.0,17.0
4790,RH_DorsAttn_Post_3__RH_DorsAttn_Post_2,0.001051900139010119,69.0,68.0
4789,LH_Default_pCunPCC_2__LH_SalVentAttn_Med_3,0.001046857761877098,50.0,30.0
4788,RH_Default_Temp_1__LH_DorsAttn_Post_4,0.0010319940592040053,91.0,19.0
4787,LH_Vis_3__LH_Vis_2,0.0010278422014445125,3.0,2.0
4786,RH_SomMot_3__LH_SalVentAttn_Med_3,0.0010020340865234169,61.0,30.0
4785,RH_Default_PFCdPFCm_2__RH_Cont_PFCmp_1,0.0009884006594414604,97.0,88.0
4784,RH_Vis_1__LH_Default_PFC_1,0.0009879860732846738,51.0,42.0
4783,RH_DorsAttn_PrCv_1__LH_Default_PFC_3,0.0009855120669572533,72.0,44.0
4782,RH_Default_pCunPCC_1__LH_DorsAttn_Post_5,0.0009826065304546791,99.0,20.0
4781,LH_Default_Temp_1__LH_Vis_2,0.0009806013612448923,38.0,2.0
4780,LH_Cont_pCun_1__LH_Limbic_TempPole_1,0.0009800306569441352,36.0,32.0
4779,RH_Cont_Par_2__LH_Vis_7,0.0009785455565093843,82.0,7.0
4778,RH_SalVentAttn_TempOccPar_1__LH_DorsAttn_PrCv_1,0.0009785257978042917,74.0,22.0
4777,RH_SomMot_2__LH_Vis_6,0.0009770147790927098,60.0,6.0
4776,RH_Default_Temp_1__LH_DorsAttn_Post_2,0.0009759091659510496,91.0,17.0
4775,RH_DorsAttn_Post_4__LH_Default_Temp_2,0.0009617560569691687,70.0,39.0
4774,RH_Default_PFCdPFCm_3__RH_Vis_6,0.0009450628312413254,98.0,56.0
4773,RH_Vis_8__LH_Vis_3,0.0009449787319079228,58.0,3.0
4772,LH_SomMot_5__LH_Vis_4,0.0009435396478033553,14.0,4.0
4771,RH_Default_PFCv_2__LH_DorsAttn_Post_2,0.0009409338702411297,95.0,17.0
4770,RH_Cont_PFCl_3__LH_SomMot_1,0.000940097499513212,85.0,10.0
4769,RH_Default_Temp_1__RH_Cont_Par_1,0.0009394630727973895,91.0,81.0
4768,RH_Limbic_TempPole_1__RH_DorsAttn_PrCv_1,0.0009319358246012538,80.0,72.0
4767,RH_Cont_pCun_1__LH_DorsAttn_FEF_1,0.0009307848098755916,89.0,23.0
4766,RH_Cont_PFCl_3__RH_SomMot_6,0.0009279852498253427,85.0,64.0
4765,RH_DorsAttn_Post_4__LH_Default_pCunPCC_2,0.0009205851536437424,70.0,50.0
4764,RH_Cont_Par_2__LH_SomMot_2,0.000916304827169633,82.0,11.0
4763,LH_Default_PFC_4__LH_SalVentAttn_PFCl_1,0.0009150772778532233,45.0,27.0
4762,RH_Default_PFCdPFCm_3__LH_SalVentAttn_Med_3,0.0009132654775367173,98.0,30.0
4761,RH_Limbic_TempPole_1__LH_DorsAttn_PrCv_1,0.000911711177098934,80.0,22.0
4760,RH_SomMot_3__RH_SomMot_2,0.0009102832286563697,61.0,60.0
4759,RH_Cont_Par_1__RH_SalVentAttn_FrOperIns_1,0.0009084975261889947,81.0,76.0
4758,RH_Default_Temp_1__RH_DorsAttn_PrCv_1,0.0009075178875501375,91.0,72.0
4757,LH_Cont_pCun_1__LH_SomMot_1,0.0009074307988780468,36.0,10.0
4756,LH_Default_Temp_2__LH_Default_Temp_1,0.0009001973945336531,39.0,38.0
4755,RH_Vis_7__LH_Limbic_TempPole_2,0.0008943857945155602,57.0,33.0
4754,RH_Cont_PFCl_1__LH_SalVentAttn_Med_3,0.0008908270270182278,83.0,30.0
4753,RH_Cont_PFCl_4__LH_Vis_4,0.0008901563933536205,86.0,4.0
4752,RH_DorsAttn_FEF_1__LH_DorsAttn_Post_3,0.0008880917332171507,73.0,18.0
4751,LH_SomMot_1__LH_Vis_1,0.0008857234851323267,10.0,1.0
4750,LH_Default_Par_2__LH_SalVentAttn_FrOperIns_1,0.0008800914304925495,41.0,25.0
4749,RH_Vis_3__LH_Vis_6,0.0008688683340111454,53.0,6.0
4748,RH_Default_pCunPCC_1__LH_DorsAttn_Post_6,0.0008686626652983991,99.0,21.0
4747,LH_Default_PFC_2__LH_SalVentAttn_FrOperIns_1,0.0008654877968792095,43.0,25.0
4746,RH_Cont_Par_1__LH_DorsAttn_Post_2,0.0008583083379712227,81.0,17.0
4745,RH_Vis_3__LH_SomMot_5,0.0008549585339124042,53.0,14.0
4744,RH_Cont_PFCl_1__LH_DorsAttn_Post_4,0.0008496634138303693,83.0,19.0
4743,RH_Cont_PFCl_2__RH_DorsAttn_Post_2,0.0008493136210718229,84.0,68.0
4742,RH_SomMot_2__LH_Default_PFC_5,0.0008483304451448411,60.0,46.0
4741,RH_DorsAttn_FEF_1__RH_Vis_4,0.0008474562762613859,73.0,54.0
4740,RH_Vis_4__LH_Limbic_TempPole_2,0.0008471738361997426,54.0,33.0
4739,LH_Cont_pCun_1__LH_DorsAttn_FEF_1,0.0008469185826999329,36.0,23.0
4738,RH_Default_Par_1__LH_DorsAttn_Post_1,0.0008430363497680489,90.0,16.0
4737,RH_SalVentAttn_FrOperIns_1__RH_SalVentAttn_TempOccPar_1,0.0008417539674394434,76.0,74.0
4736,RH_Default_pCunPCC_2__LH_SalVentAttn_Med_3,0.0008388620276581908,100.0,30.0
4735,RH_Vis_8__LH_Cont_Par_1,0.0008375263529194381,58.0,34.0
4734,LH_Default_PFC_7__LH_Limbic_OFC_1,0.0008333651521564755,48.0,31.0
4733,RH_Default_Temp_1__RH_DorsAttn_Post_4,0.0008329007424445282,91.0,70.0
4732,RH_Default_pCunPCC_1__LH_Cont_pCun_1,0.0008304534884939471,99.0,36.0
4731,RH_SomMot_8__LH_Default_PFC_5,0.0008295246778879617,66.0,46.0
4730,LH_Default_PFC_2__LH_Vis_3,0.0008290910304300384,43.0,3.0
4729,RH_Cont_PFCl_3__LH_SomMot_6,0.0008203102941773643,85.0,15.0
4728,LH_Default_PFC_6__LH_Default_PFC_3,0.000815884781887269,47.0,44.0
4727,RH_Cont_PFCl_3__RH_DorsAttn_Post_1,0.0008117639046413385,85.0,67.0
4726,RH_Cont_PFCl_4__LH_SalVentAttn_Med_1,0.000807708046958933,86.0,28.0
4725,RH_Vis_4__LH_Default_PFC_4,0.0008068265267958348,54.0,45.0
4724,RH_SomMot_7__LH_SomMot_4,0.0008044774843971119,65.0,13.0
4723,RH_Default_PFCdPFCm_3__LH_Limbic_TempPole_2,0.0008017235765557065,98.0,33.0
4722,RH_Limbic_TempPole_1__LH_SalVentAttn_Med_2,0.0007949600416922463,80.0,29.0
4721,LH_Cont_pCun_1__LH_Vis_3,0.0007948115991547767,36.0,3.0
4720,RH_Vis_3__LH_Limbic_TempPole_1,0.0007894309799988502,53.0,32.0
