,Feature,Beta,Node1,Node2
4949,LH_Default_pCunPCC_1__LH_SomMot_6,0.18313805742494563,49.0,15.0
4948,LH_Cont_Cing_1__LH_Cont_Par_1,0.025474690683420242,37.0,34.0
4947,RH_SomMot_8__LH_Limbic_TempPole_2,0.023897233546755964,66.0,33.0
4946,RH_Default_Temp_3__LH_SalVentAttn_Med_1,0.02025726218895266,93.0,28.0
4945,RH_DorsAttn_PrCv_1__RH_Vis_3,0.017138678044378252,72.0,53.0
4944,RH_SomMot_8__LH_Default_pCunPCC_1,0.01611381856263353,66.0,49.0
4943,RH_DorsAttn_Post_1__LH_SomMot_6,0.015738896061175747,67.0,15.0
4942,RH_SalVentAttn_TempOccPar_1__LH_SalVentAttn_ParOper_1,0.012083515187248673,74.0,24.0
4941,LH_Limbic_TempPole_1__LH_DorsAttn_Post_6,0.011429040490327471,32.0,21.0
4940,RH_Default_Temp_3__LH_SalVentAttn_Med_3,0.010705874664791948,93.0,30.0
4939,RH_DorsAttn_Post_5__LH_Limbic_TempPole_1,0.010495692044909834,71.0,32.0
4938,RH_SomMot_7__LH_Limbic_TempPole_2,0.009645893259246606,65.0,33.0
4937,RH_Limbic_TempPole_1__RH_DorsAttn_FEF_1,0.008503815753122304,80.0,73.0
4936,RH_DorsAttn_FEF_1__LH_Limbic_TempPole_1,0.008391051206658104,73.0,32.0
4935,RH_Default_pCunPCC_1__LH_SomMot_3,0.008076999024081839,99.0,12.0
4934,RH_Default_PFCv_2__RH_Vis_4,0.007440045106607675,95.0,54.0
4933,LH_Default_Temp_2__LH_SalVentAttn_Med_2,0.0058881192372601246,39.0,29.0
4932,LH_Limbic_TempPole_2__LH_SalVentAttn_FrOperIns_1,0.00572228016056973,33.0,25.0
4931,RH_DorsAttn_Post_5__LH_Vis_1,0.005632802367245259,71.0,1.0
4930,RH_Default_Temp_3__LH_Vis_5,0.0054728179658228284,93.0,5.0
4929,RH_DorsAttn_Post_4__LH_Limbic_TempPole_2,0.0054121665138824136,70.0,33.0
4928,LH_SalVentAttn_Med_2__LH_Vis_1,0.005133483736281058,29.0,1.0
4927,RH_Default_PFCdPFCm_3__LH_Cont_Par_1,0.005088517073111254,98.0,34.0
4926,RH_SomMot_8__LH_Default_PFC_7,0.00507669018582392,66.0,48.0
4925,RH_Cont_Par_1__RH_DorsAttn_FEF_1,0.005054593139440698,81.0,73.0
4924,RH_SomMot_2__LH_Vis_2,0.00477742281414607,60.0,2.0
4923,RH_Default_Par_1__LH_DorsAttn_FEF_1,0.004717724458797226,90.0,23.0
4922,RH_SomMot_2__LH_Default_pCunPCC_1,0.004701330868779475,60.0,49.0
4921,RH_Default_PFCdPFCm_3__LH_Cont_PFCl_1,0.0046750505620732855,98.0,35.0
4920,RH_DorsAttn_Post_4__RH_DorsAttn_Post_1,0.00442305809941699,70.0,67.0
4919,RH_Cont_PFCl_3__RH_Cont_PFCl_1,0.004363861984180802,85.0,83.0
4918,RH_SalVentAttn_TempOccPar_1__RH_DorsAttn_Post_1,0.004286038054604201,74.0,67.0
4917,RH_Default_PFCdPFCm_3__LH_DorsAttn_Post_3,0.0041061283781399045,98.0,18.0
4916,LH_Default_PFC_7__LH_Cont_Cing_1,0.004096941723881929,48.0,37.0
4915,RH_Default_PFCdPFCm_1__LH_Cont_pCun_1,0.004078549355379573,96.0,36.0
4914,RH_Vis_8__LH_Vis_3,0.003918050190231475,58.0,3.0
4913,RH_SomMot_7__LH_Default_pCunPCC_1,0.003765581402826158,65.0,49.0
4912,RH_Vis_3__LH_Limbic_TempPole_1,0.0037024989260123465,53.0,32.0
4911,RH_DorsAttn_Post_1__LH_SalVentAttn_Med_2,0.0036639619729437107,67.0,29.0
4910,RH_Cont_Par_1__RH_DorsAttn_Post_4,0.00365104551714112,81.0,70.0
4909,RH_DorsAttn_PrCv_1__LH_Default_pCunPCC_1,0.0036114482848841494,72.0,49.0
4908,LH_Default_PFC_3__LH_SomMot_6,0.003491680966154065,44.0,15.0
4907,RH_DorsAttn_Post_1__LH_SomMot_3,0.003430660863191426,67.0,12.0
4906,LH_Cont_PFCl_1__LH_SalVentAttn_Med_1,0.0034085859897724493,35.0,28.0
4905,LH_Default_pCunPCC_1__LH_SomMot_1,0.00338253825496935,49.0,10.0
4904,RH_Default_PFCdPFCm_3__LH_SalVentAttn_PFCl_1,0.0032729863222167384,98.0,27.0
4903,LH_Default_Temp_2__LH_SalVentAttn_Med_3,0.00323180109833634,39.0,30.0
4902,RH_SomMot_2__RH_Vis_2,0.003227716286699264,60.0,52.0
4901,RH_SalVentAttn_TempOccPar_2__RH_DorsAttn_Post_1,0.003134993852527939,75.0,67.0
4900,RH_Vis_5__LH_Vis_3,0.0030063228608355223,55.0,3.0
4899,LH_Limbic_TempPole_2__LH_DorsAttn_Post_2,0.003002945018163019,33.0,17.0
4898,RH_SalVentAttn_TempOccPar_1__LH_Default_pCunPCC_1,0.0029783567720205397,74.0,49.0
4897,RH_Cont_Par_2__LH_DorsAttn_FEF_1,0.0029417715364403766,82.0,23.0
4896,RH_SomMot_4__RH_Vis_5,0.0029416293988451555,62.0,55.0
4895,LH_Default_pCunPCC_2__LH_SalVentAttn_FrOperIns_1,0.0029226940849406044,50.0,25.0
4894,RH_Cont_PFCl_3__LH_DorsAttn_Post_1,0.002821700609434118,85.0,16.0
