,Feature,Beta,Count,Node1,Node2
0,RH_Default_Temp_1__LH_Default_PFC_6,0.0019690576913589733,1.0,91.0,47.0
1,RH_Cont_pCun_1__LH_DorsAttn_Post_3,0.0026601044143734435,1.0,89.0,18.0
2,RH_Cont_Cing_1__RH_Vis_1,-0.003347681546388791,1.0,87.0,51.0
3,LH_Default_PFC_5__LH_Limbic_TempPole_2,-0.0018165354748473327,1.0,46.0,33.0
4,LH_SomMot_6__LH_Vis_1,0.01584532323898726,1.0,15.0,1.0
5,LH_DorsAttn_Post_6__LH_DorsAttn_Post_2,-0.009204605361343904,1.0,21.0,17.0
6,RH_Default_PFCv_2__RH_Vis_1,-0.006907901293818671,1.0,95.0,51.0
7,RH_Limbic_OFC_1__RH_Vis_1,-0.000985087132414435,1.0,79.0,51.0
8,RH_Default_pCunPCC_1__RH_SomMot_8,0.004875536649686812,1.0,99.0,66.0
9,LH_Default_PFC_3__LH_DorsAttn_Post_5,-0.004452813667523189,1.0,44.0,20.0
10,RH_Cont_Par_2__LH_Cont_Par_1,-0.0009717545113846,1.0,82.0,34.0
11,RH_Default_PFCdPFCm_2__RH_Cont_Par_1,-0.0038077991963940323,1.0,97.0,81.0
12,RH_DorsAttn_Post_4__RH_DorsAttn_Post_3,0.0041013346102015515,1.0,70.0,69.0
13,LH_Default_pCunPCC_1__LH_Vis_7,0.009017505777346092,1.0,49.0,7.0
14,RH_Limbic_TempPole_1__RH_DorsAttn_Post_5,0.0017645905491580319,1.0,80.0,71.0
15,RH_DorsAttn_Post_1__RH_SomMot_7,0.003307550645142615,1.0,67.0,65.0
16,RH_Default_Temp_1__RH_Cont_Par_1,-0.006500651871336874,1.0,91.0,81.0
17,RH_Cont_Cing_1__LH_Default_PFC_7,-0.004525698661248583,1.0,87.0,48.0
18,RH_SomMot_6__LH_Default_PFC_3,0.01127486528036518,1.0,64.0,44.0
19,RH_Cont_Par_1__RH_Vis_8,-0.004452636354776025,1.0,81.0,58.0
20,RH_Cont_pCun_1__LH_Cont_Par_1,-0.002284827626607372,1.0,89.0,34.0
21,LH_Default_PFC_6__LH_Default_PFC_1,-0.00043565909389348866,1.0,47.0,42.0
22,LH_Default_PFC_6__LH_Default_PFC_4,0.0003964737706753118,1.0,47.0,45.0
23,LH_Default_PFC_7__LH_Default_PFC_5,-0.009240090722917628,1.0,48.0,46.0
24,RH_DorsAttn_FEF_1__RH_DorsAttn_Post_1,0.001947546099638938,1.0,73.0,67.0
25,LH_DorsAttn_Post_4__LH_Vis_9,-0.002746075957312241,1.0,19.0,9.0
26,RH_Default_PFCdPFCm_3__LH_DorsAttn_Post_1,-0.0011489971280235947,1.0,98.0,16.0
27,RH_SomMot_4__LH_Vis_5,-0.0012538864044678373,1.0,62.0,5.0
28,LH_Default_pCunPCC_1__LH_DorsAttn_Post_6,0.00653114397472687,1.0,49.0,21.0
29,RH_Default_Temp_3__LH_SalVentAttn_Med_1,-0.010174647818365783,2.0,93.0,28.0
30,LH_Default_PFC_6__LH_Limbic_TempPole_1,-0.0041442912185681545,2.0,47.0,32.0
31,LH_Default_PFC_7__LH_Limbic_TempPole_2,0.00428665020374963,2.0,48.0,33.0
32,RH_Vis_1__LH_Limbic_OFC_1,-0.00955412215307867,2.0,51.0,31.0
33,RH_SomMot_2__LH_Default_pCunPCC_1,-0.006223921572949738,2.0,60.0,49.0
34,RH_Default_PFCdPFCm_3__LH_Default_Par_2,-0.006162947789805836,2.0,98.0,41.0
35,RH_DorsAttn_Post_5__LH_Vis_1,0.02295072135769099,2.0,71.0,1.0
36,RH_DorsAttn_Post_5__RH_DorsAttn_Post_1,0.015306829634575952,2.0,71.0,67.0
37,LH_Default_Par_2__LH_Limbic_TempPole_2,-0.0001302254792757334,2.0,41.0,33.0
38,RH_DorsAttn_Post_1__LH_DorsAttn_Post_6,0.012029361290293885,2.0,67.0,21.0
39,LH_Default_PFC_6__LH_Limbic_TempPole_2,-0.003933021894804496,3.0,47.0,33.0
40,RH_DorsAttn_FEF_1__LH_DorsAttn_Post_2,0.0127796545158425,3.0,73.0,17.0
41,RH_Default_Par_1__LH_Default_PFC_7,-0.00505581940186966,3.0,90.0,48.0
42,RH_DorsAttn_FEF_1__LH_SalVentAttn_ParOper_1,-0.002251681875093954,3.0,73.0,24.0
43,RH_Cont_Par_1__LH_DorsAttn_Post_3,-0.004416289697512762,4.0,81.0,18.0
44,RH_SalVentAttn_FrOperIns_1__RH_DorsAttn_Post_1,0.005170417790842169,4.0,76.0,67.0
45,RH_Default_PFCdPFCm_3__LH_Cont_Par_1,-0.014186198755995631,5.0,98.0,34.0
46,RH_Default_Par_1__LH_Default_PFC_6,0.0049523343468119456,5.0,90.0,47.0
47,RH_DorsAttn_Post_1__LH_SalVentAttn_Med_2,0.024678262805945254,5.0,67.0,29.0
48,RH_Cont_Par_1__RH_DorsAttn_Post_4,-0.002164063269983456,5.0,81.0,70.0
49,LH_Default_PFC_3__LH_SomMot_6,0.033479545029380116,6.0,44.0,15.0
50,RH_Default_Par_1__LH_Cont_Par_1,-0.013150949272046243,6.0,90.0,34.0
51,RH_SomMot_8__LH_Default_PFC_3,0.033263874570950855,7.0,66.0,44.0
52,RH_Default_pCunPCC_1__LH_SomMot_6,0.027760933242284885,7.0,99.0,15.0
53,RH_Cont_Par_1__LH_Limbic_OFC_1,0.02301424291879378,8.0,81.0,31.0
54,LH_Default_PFC_7__LH_SalVentAttn_PFCl_1,-0.04150995901337359,8.0,48.0,27.0
55,RH_Cont_Par_1__LH_DorsAttn_Post_1,-0.06754977332621014,8.0,81.0,16.0
56,LH_Default_PFC_6__LH_Default_Par_2,0.026952062440121948,9.0,47.0,41.0
57,RH_SomMot_7__LH_Limbic_TempPole_2,0.0973875257788637,10.0,65.0,33.0
58,RH_SomMot_8__LH_Default_pCunPCC_1,0.04560964500086945,11.0,66.0,49.0
59,RH_Default_Temp_3__LH_SalVentAttn_Med_3,-0.07683751162671168,15.0,93.0,30.0
60,RH_DorsAttn_Post_5__LH_Limbic_TempPole_1,0.05807779232123085,17.0,71.0,32.0
61,RH_Default_PFCv_1__RH_Cont_Par_1,0.12946818383450956,19.0,94.0,81.0
62,LH_Default_pCunPCC_1__LH_SomMot_6,0.3050441161926521,27.0,49.0,15.0
63,RH_DorsAttn_Post_1__LH_SomMot_6,0.26700384005155536,31.0,67.0,15.0
