Subject,VMPFC_VSTR,M1_R_VSTR,M1_R_VMPFC,M1_L_VSTR,M1_L_VMPFC,M1_L_M1_R,SMA_R_VSTR,SMA_R_VMPFC,SMA_R_M1_R,SMA_R_M1_L,SMA_L_VSTR,SMA_L_VMPFC,SMA_L_M1_R,SMA_L_M1_L,SMA_L_SMA_R,preSMA_R_VSTR,preSMA_R_VMPFC,preSMA_R_M1_R,preSMA_R_M1_L,preSMA_R_SMA_R,preSMA_R_SMA_L,preSMA_L_VSTR,preSMA_L_VMPFC,preSMA_L_M1_R,preSMA_L_M1_L,preSMA_L_SMA_R,preSMA_L_SMA_L,preSMA_L_preSMA_R
102,0.1019215,0.1007215,0.06833624,0.09175085,0.0506014,0.9002594,0.03522961,0.00961409,0.5515915,0.5564993,0.01009553,-0.02208834,0.5434508,0.564434,0.4252118,0.04672771,0.09738173,0.2775095,0.353661,0.4526026,0.3208984,0.1571174,-0.008965186,0.1803168,0.2633067,0.16128,0.3216951,0.4781628
105,0.09012602,0.02789264,0.03041215,0.003502491,-0.00288558,0.6149805,-0.08714957,-0.1094537,0.331073,0.1238495,-0.06661503,-0.1085572,0.3597935,0.3013383,0.6448925,-0.06612123,0.07580812,0.05618194,-0.1167392,0.4137167,0.2094585,-0.03369224,0.07563355,0.07606986,-0.1381375,0.1264839,0.1395715,0.3429236
107,0.2393258,0.1595581,0.2309835,0.2016217,0.2323356,0.5670309,0.1938628,0.1192331,0.5148097,0.4239056,0.2897947,0.2739976,0.5425431,0.4397464,0.5344141,0.2924861,-0.05109901,0.275703,0.111611,0.5057045,0.3614436,0.1840608,0.04194525,0.3105295,0.2363416,0.4095583,0.452054,0.5801318
108,0.1647572,0.2396254,0.1193811,0.3136145,0.1932769,0.5410591,0.09335441,-0.04470539,0.3359258,0.3478024,0.2089574,-0.01844342,0.3453668,0.5342761,0.6301922,0.1476711,-0.2165983,0.1641531,0.2396825,0.6167458,0.5569995,0.181794,-0.04089447,0.3266531,0.401144,0.5592771,0.6020164,0.7253961
109,0.1718362,-0.08743568,0.2407977,0.0523904,0.2893945,0.6148182,-0.06114368,0.4295737,0.811478,0.5074776,-0.08405551,0.3554545,0.6140871,0.3924223,1.194392,0.004662316,0.4306759,0.4386679,0.1740865,0.7605381,0.7899608,0.1754795,0.1401334,0.3819776,0.2642074,0.3541798,0.2699926,0.4740902
110,0.1964687,-0.03155911,0.1679045,-0.009564863,-0.001752093,0.3028439,0.05685773,-0.04449499,0.1951634,0.2980033,0.0565938,-0.001224411,0.1644432,0.3252561,0.3557662,-0.08830348,-0.3363815,0.0492257,0.1750638,0.2477214,0.2025411,0.07645021,0.1238606,0.2226103,0.1835844,0.1125432,0.2003086,0.01266248
111,0.1099219,0.01122198,-0.4075432,-0.0491618,-0.005795102,0.3567074,0.07170566,-0.4145033,0.8068929,0.1966534,0.04443139,-0.2930324,0.5202518,0.2487749,0.9930702,0.08447605,-0.2887349,0.621807,0.2472764,0.823887,0.6979438,0.02784803,0.05640348,0.209382,0.2064575,0.2004121,0.316246,0.5021265
112,0.2615225,0.1750017,-0.004637771,0.1169052,-0.06745161,1.034115,0.1407542,0.1766547,0.4164099,0.1872066,0.1516301,0.1118623,0.3967966,0.2020096,0.9603128,0.1800086,0.0565716,0.5313084,0.3654282,0.7787932,0.757065,0.1061464,0.07696975,0.4138012,0.2654899,0.7237859,0.8083067,0.8333327
113,0.253609,0.1569583,0.2468201,0.1348337,0.102088,0.9294645,0.1320444,0.07999926,0.7669922,0.7903259,0.1150019,0.07367888,0.7543678,0.7267185,0.7600014,0.2439357,-0.01092677,0.2935593,0.3550101,0.555714,0.2570601,0.2809965,0.2389697,0.4895938,0.3883885,0.3701271,0.3957905,0.4093926
114,0.0897778,0.116268,-0.05230217,0.06308671,-0.09252681,0.3624566,0.09540109,-0.04207562,0.01947078,0.06819175,0.05498273,-0.1254005,0.1177774,0.3563941,0.5183851,0.1214473,-0.2740305,0.07426564,0.1405221,0.2068709,0.2814189,0.09525969,-0.1155017,0.04436849,0.1302626,0.01906154,0.2560432,0.6964395
115,0.2900379,0.2185774,0.3486507,0.2245938,0.3159318,0.9421943,0.1498175,0.2840265,0.7649649,0.6324069,0.1944346,0.317341,0.7560961,0.7816591,0.70201,0.02000687,-0.06664518,-0.04427251,-0.103243,0.2200514,0.09846486,0.2087925,0.3057715,0.2055311,0.1651635,0.2490161,0.3424866,0.3160099
116,0.1506186,0.2674304,-0.06303067,0.2069485,0.1655425,0.5218545,0.2875807,0.1958004,0.5784822,0.5445753,0.2606381,0.08181771,0.492179,0.412828,0.6317291,0.2997153,-0.1750559,0.5662552,0.3224224,0.4057567,0.647008,0.1453553,-0.1402795,0.4051277,0.287027,0.3767567,0.5277022,0.4511449
117,0.01628425,-0.02319204,0.01451715,-0.1093311,0.08220842,0.1756242,0.09985646,-0.0762241,0.4795789,0.3589253,-0.004265834,-0.1517192,0.292345,0.4699523,0.6884574,-0.03965041,-0.467514,0.359059,0.2097137,0.461763,0.3927131,0.02467113,-0.2830721,0.2027928,0.1877161,0.3839662,0.5031285,0.5429357
118,0.08648094,0.2098649,0.3125981,0.1421177,0.4098114,0.9028232,0.2055819,0.2163738,0.6831008,0.602706,0.1981166,0.1653725,0.664958,0.6194024,1.084845,0.2007507,-0.06347906,0.4192639,0.3254716,0.6792242,0.569173,0.2078987,0.1717089,0.4092626,0.3200357,0.5593905,0.6374391,0.6194842
120,0.3707684,0.224114,0.3832124,0.1244995,0.2342264,0.4755733,0.2135196,0.2071689,0.5803194,0.5405689,0.1748471,0.204625,0.4986698,0.6143015,0.721654,0.1584518,0.06045249,0.2784093,0.3511727,0.5996162,0.4924785,0.1202146,0.0840959,0.292759,0.389097,0.4718837,0.5887681,0.6559632
